Transaction ID,Salesman ID,Product,Serial No,ID Customer,List Price,Gross Margin
1001,2002,A,11001,1160,999,262
1002,2011,A,11002,1099,999,380
1003,2005,A,11003,1010,999,288
1004,2020,A,11004,1180,999,288
1004,2020,A,11005,1180,999,288
1005,2035,A,11006,1125,999,326
1006,2011,A,11007,1032,999,266
1007,2001,A,11008,1124,999,308
1007,2001,A,11009,1124,999,308
1007,2001,A,11010,1124,999,308
1007,2001,A,11011,1124,999,308
1008,2037,A,11012,1118,1199,490
1009,2002,A,11013,1029,1199,421
1010,2018,A,11014,1159,1199,534
1010,2018,A,11015,1159,1199,534
1010,2018,A,11016,1159,1199,534
1011,2002,A,11017,1176,1199,456
1011,2002,A,11018,1176,1199,456
1011,2002,A,11019,1176,1199,456
1011,2002,A,11020,1176,1199,456
1012,2016,A,11021,1035,1199,568
1013,2035,A,11022,1113,1199,456
1014,2019,A,11023,1011,1199,441
1014,2019,A,11024,1011,1199,441
1014,2019,A,11025,1011,1199,441
1015,2030,A,11026,1111,1199,485
1016,2031,A,11027,1126,1199,505
1017,2012,A,11028,1072,1199,568
1018,2002,A,11029,1176,1199,490
1019,2018,A,11030,1174,1199,397
1020,2031,A,11031,1092,1199,446
1021,2002,A,11032,1176,1299,504
1022,2022,A,11033,1036,1299,504
1023,2006,A,11034,1105,1299,566
1024,2006,A,11035,1056,1299,678
1025,2025,A,11036,1112,1299,560
1026,2010,A,11037,1047,1299,700
1026,2010,A,11038,1047,1299,700
1026,2010,A,11039,1047,1299,700
1027,2012,A,11040,1072,1299,683
1028,2015,A,11041,1050,1299,727
1029,2017,A,11042,1139,1299,711
1030,2022,A,11043,1119,1299,700
1031,2017,A,11044,1109,1299,560
1031,2017,A,11045,1109,1299,560
1031,2017,A,11046,1109,1299,560
1031,2017,A,11047,1109,1299,560
1031,2017,A,11048,1109,1299,560
1031,2017,A,11049,1109,1299,560
1032,2002,A,11050,1110,1299,722
1033,2020,A,11051,1127,1299,521
1034,2026,A,11052,1143,1299,689
1035,2026,A,11053,1079,1299,660
1036,2006,A,11054,1043,1299,504
1037,2026,A,11055,1037,1299,711
1038,2037,A,11056,1141,1299,672
1039,2016,A,11057,1035,1299,521
1040,2031,A,11058,1126,1299,678
1041,2026,A,11059,1079,1299,593
1042,2020,A,11060,1180,1299,560
1043,2019,A,11061,1115,1299,504
1044,2031,A,11062,1165,1299,604
1045,2027,A,11063,1145,1299,559
1046,2024,A,11064,1057,1299,616
1047,2020,A,11065,1127,1299,638
1048,2026,A,11066,1148,1299,616
1049,2001,A,11067,1161,1299,610
1050,2017,A,11068,1094,1299,504
1051,2024,A,11069,1120,1299,610
1052,2011,A,11070,1151,1299,633
1053,2018,A,11071,1153,1299,722
1054,2007,A,11072,1129,1299,616
1055,2026,A,11073,1019,1299,548
1056,2004,A,11074,1146,1299,672
1057,2008,A,11075,1128,1299,722
1059,2035,A,11077,1144,1299,622
1060,2037,A,11078,1071,1299,599
1061,2006,A,11079,1131,1299,571
1062,2011,A,11080,1108,1299,593
1063,2035,A,11081,1113,1299,672
1064,2028,A,11082,1040,1299,504
1065,2021,A,11083,1164,1299,504
1066,2018,A,11084,1088,1299,548
1067,2020,A,11085,1051,1299,504
1067,2020,A,11086,1051,1299,504
1067,2020,A,11087,1051,1299,504
1067,2020,A,11088,1051,1299,504
1068,2029,A,11089,1138,1299,700
1069,2006,A,11090,1132,1299,616
1070,2006,A,11091,1133,1299,739
1071,2011,A,11092,1108,1299,616
1072,2008,A,11093,1128,1299,678
1073,2037,A,11094,1058,1299,599
1074,2025,A,11095,1087,1299,566
1075,2037,A,11096,1141,1299,734
1076,2037,A,11097,1022,1299,716
1077,2036,A,11098,1034,1299,521
1078,2002,A,11099,1029,1299,577
1079,2022,A,11100,1024,1299,554
1080,2030,A,11101,1095,1299,566
1081,2009,A,11102,1136,1299,627
1082,2014,A,11103,1069,1299,672
1083,2034,A,11104,1045,1299,560
1084,2036,A,11105,1034,1299,593
1085,2006,A,11106,1131,1299,521
1086,2001,A,11107,1063,1299,711
1087,2035,A,11108,1113,1299,582
1088,2022,A,11109,1076,1299,537
1089,2018,A,11110,1070,1499,800
1089,2018,B,12001,1070,2199,666
1089,2018,B,12002,1070,2199,666
1089,2018,B,12003,1070,2199,666
1090,2002,B,12004,1020,2199,666
1091,2027,B,12005,1067,2199,720
1092,2026,A,11111,1143,1499,910
1092,2026,A,11112,1143,1499,910
1092,2026,A,11113,1143,1499,910
1092,2026,A,11114,1143,1499,910
1092,2026,B,12006,1143,2199,796
1093,2017,B,12007,1091,2199,658
1094,2033,B,12008,1149,2199,698
1095,2022,B,12009,1076,2199,648
1095,2022,B,12010,1076,2199,648
1095,2022,B,12011,1076,2199,648
1095,2022,B,12012,1076,2199,648
1096,2005,B,12013,1169,2199,540
1097,2001,B,12014,1063,2199,763
1098,2001,B,12015,1063,2199,731
1099,2006,B,12016,1074,2199,731
1100,2024,A,11115,1120,1499,917
1100,2024,B,12017,1120,2199,763
1101,2030,B,12018,1095,2199,684
1102,2025,B,12019,1112,2199,763
1103,2019,B,12020,1177,2199,590
1104,2033,B,12021,1149,2199,626
1104,2033,B,12022,1149,2199,626
1104,2033,B,12023,1149,2199,626
1104,2033,B,12024,1149,2199,626
1105,2022,A,11116,1036,1499,943
1106,2018,B,12025,1153,2199,698
1107,2026,B,12026,1079,2199,709
1108,2021,B,12027,1164,2199,590
1108,2021,B,12028,1164,2199,590
1108,2021,B,12029,1164,2199,590
1108,2021,B,12030,1164,2199,590
1109,2016,B,12031,1031,2199,569
1110,2036,B,12032,1062,2199,792
1111,2015,B,12033,1050,2199,590
1112,2027,B,12034,1003,2199,774
1113,2021,B,12035,1043,2199,680
1114,2029,B,12036,1048,2199,658
1115,2002,B,12037,1029,2199,666
1116,2030,B,12038,1073,2199,580
1117,2023,B,12039,1152,2199,666
1118,2011,B,12040,1151,2199,796
1119,2005,B,12041,1169,2199,723
1120,2006,B,12042,1131,2199,612
1120,2006,B,12043,1131,2199,612
1121,2036,B,12044,1062,2199,569
1122,2031,B,12045,1005,2199,742
1123,2028,B,12046,1122,2199,698
1124,2026,B,12047,1143,2199,590
1125,2012,B,12048,1044,2199,590
1126,2035,B,12049,1144,2199,590
1127,2032,B,12050,1023,2199,658
1128,2022,A,11117,1036,1499,780
1129,2006,A,11118,1133,1499,904
1129,2006,B,12051,1133,2199,752
1129,2006,B,12052,1133,2199,752
1129,2006,B,12053,1133,2199,752
1129,2006,B,12054,1133,2199,752
1129,2006,B,12055,1133,2199,752
1129,2006,B,12056,1133,2199,752
1129,2006,B,12057,1133,2199,752
1129,2006,B,12058,1133,2199,752
1129,2006,B,12059,1133,2199,752
1129,2006,B,12060,1133,2199,752
1130,2021,B,12061,1064,2199,720
1131,2028,B,12062,1158,2199,788
1132,2021,B,12063,1086,2199,688
1133,2027,B,12064,1098,2199,774
1134,2003,B,12065,1106,2199,655
1135,2019,B,12066,1135,2199,723
1136,2030,B,12067,1095,2199,702
1137,2018,B,12068,1070,2199,698
1138,2018,B,12069,1153,2199,756
1139,2036,B,12070,1034,2199,702
1139,2036,B,12071,1034,2199,702
1139,2036,B,12072,1034,2199,702
1139,2036,B,12073,1034,2199,702
1140,2017,B,12074,1094,2199,615
1141,2003,B,12075,1042,2199,634
1142,2014,B,12076,1068,2199,684
1143,2017,B,12077,1094,2199,698
1144,2021,B,12078,1059,2199,637
1145,2020,B,12079,1015,2199,655
1146,2027,B,12080,1067,2199,648
1147,2023,B,12081,1009,2199,698
1148,2012,B,12082,1044,2199,756
1149,2026,B,12083,1079,2199,720
1150,2012,B,12084,1072,2199,601
1151,2004,B,12085,1101,2199,720
1152,2035,A,11119,1144,1499,761
1152,2035,B,12086,1144,2199,612
1152,2035,B,12087,1144,2199,612
1152,2035,B,12088,1144,2199,612
1153,2018,B,12089,1174,2199,745
1154,2013,C,13001,1041,3299,1278
1155,2002,C,13002,1029,3299,1499
1156,2017,C,13003,1139,3299,1353
1157,2031,C,13004,1165,3299,1269
1158,2033,C,13005,1093,3299,1330
1158,2033,C,13006,1093,3299,1330
1158,2033,C,13007,1093,3299,1330
1159,2022,C,13008,1076,3299,1240
1160,2022,C,13009,1119,3299,1518
1161,2008,C,13010,1085,3299,1259
1162,2037,C,13011,1141,3299,1293
1163,2020,C,13012,1051,3299,1180
1163,2020,C,13013,1051,3299,1180
1163,2020,C,13014,1051,3299,1180
1163,2020,C,13015,1051,3299,1180
1163,2020,C,13016,1051,3299,1180
1164,2025,C,13017,1112,3299,1353
1165,2007,C,13018,1129,3299,1410
1166,2022,C,13019,1119,3299,1146
1167,2015,C,13020,1060,3299,1175
1168,2014,C,13021,1069,3299,1255
1169,2031,C,13022,1066,3299,1222
1170,2016,C,13023,1097,3299,1428
1171,2007,C,13024,1129,3299,1316
1171,2007,C,13025,1129,3299,1316
1171,2007,C,13026,1129,3299,1316
1172,2027,C,13027,1179,3299,1481
1173,2014,C,13028,1027,3299,1410
1174,2007,C,13029,1089,3299,1537
1175,2003,C,13030,1106,3299,1560
1176,2026,B,12090,1148,2499,968
1176,2026,B,12091,1148,2499,968
1176,2026,C,13031,1148,3299,1349
1176,2026,C,13032,1148,3299,1349
1177,2031,C,13033,1165,3299,1236
1178,2006,C,13034,1131,3299,1199
1179,2017,C,13035,1139,3299,1466
1180,2007,C,13036,1170,3299,1443
1181,2025,C,13037,1087,3299,1269
1182,2036,B,12092,1034,2499,981
1183,2022,C,13038,1081,3299,1222
1184,2005,C,13039,1169,3299,1217
1185,2027,C,13040,1145,3299,1368
1186,2032,C,13041,1078,3299,1222
1186,2032,C,13042,1078,3299,1222
1186,2032,C,13043,1078,3299,1222
1187,2011,C,13044,1013,3299,1428
1188,2018,C,13045,1174,3299,1161
1189,2022,C,13046,1103,3299,1222
1190,2017,C,13047,1091,3299,1541
1191,2014,C,13048,1104,3299,1142
1192,2011,C,13049,1099,3299,1518
1193,2016,A,11120,1035,1699,1019
1194,2036,C,13050,1014,3299,1311
1195,2001,C,13051,1167,3299,1278
1196,2019,B,12093,1017,2499,806
1196,2019,C,13052,1017,3299,1123
1196,2019,C,13053,1017,3299,1123
1196,2019,C,13054,1017,3299,1123
1197,2022,A,11121,1024,1699,850
1198,2017,C,13055,1109,3299,1217
1199,2019,C,13056,1017,3299,1457
1200,2017,C,13057,1094,3299,1391
1201,2033,C,13058,1045,3299,1428
1202,2016,C,13059,1031,3299,1175
1203,2027,A,11122,1098,1699,1020
1203,2027,C,13060,1098,3299,1457
1203,2027,C,13061,1098,3299,1499
1203,2027,C,13062,1098,3299,1499
1203,2027,C,13063,1098,3299,1499
1203,2027,C,13064,1098,3299,1499
1203,2027,C,13065,1098,3299,1499
1203,2027,C,13066,1098,3299,1499
1203,2027,C,13067,1098,3299,1499
1203,2027,C,13068,1098,3299,1499
1203,2027,C,13069,1098,3299,1499
1204,2033,C,13070,1093,3299,1123
1205,2021,C,13071,1164,3299,1293
1206,2006,C,13072,1131,3299,1410
1206,2006,C,13073,1131,3299,1410
1207,2011,C,13074,1013,3299,1368
1208,2027,C,13075,1021,3299,1316
1209,2006,C,13076,1056,3299,1485
1210,2019,C,13077,1017,3299,1255
1210,2019,C,13078,1017,3299,1255
1210,2019,C,13079,1017,3299,1255
1210,2019,C,13080,1017,3299,1255
1211,2008,C,13081,1002,3299,1128
1212,2037,C,13082,1075,3299,1175
1213,2010,C,13083,1047,3299,1349
1214,2017,C,13084,1163,3299,1165
1215,2026,C,13085,1168,3299,1537
1216,2031,C,13086,1066,3299,1165
1217,2005,A,11123,1169,1699,965
1217,2005,A,11124,1169,1699,965
1217,2005,A,11125,1169,1699,965
1217,2005,A,11126,1169,1699,965
1217,2005,C,13087,1169,3299,1330
1217,2005,C,13088,1169,3299,1330
1217,2005,C,13089,1169,3299,1330
1218,2007,C,13090,1089,3299,1165
1219,2003,C,13091,1106,3299,1368
1220,2032,C,13092,1116,3299,1447
1221,2037,C,13093,1071,3299,1222
1222,2004,C,13094,1101,3299,1522
1223,2030,C,13095,1111,3299,1462
1224,2014,C,13096,1069,3299,1161
1224,2014,C,13097,1069,3299,1161
1224,2014,C,13098,1069,3299,1161
1224,2014,C,13099,1069,3299,1161
1224,2014,C,13100,1069,3299,1161
1224,2014,C,13101,1069,3299,1161
1224,2014,C,13102,1069,3299,1161
1225,2021,C,13103,1164,3299,1518
1226,2021,C,13104,1059,3299,1128
1227,2002,C,13105,1176,3299,1457
1228,2007,C,13106,1170,3299,1199
1228,2007,C,13107,1170,3299,1199
1228,2007,C,13108,1170,3299,1199
1229,2027,C,13109,1067,3299,1499
1230,2036,C,13110,1157,3299,1203
1231,2012,C,13111,1140,3299,1518
1232,2028,C,13112,1046,3299,1316
1233,2015,C,13113,1055,3299,1199
1234,2027,B,12094,1067,2499,1093
1234,2027,B,12095,1067,2499,1093
1234,2027,B,12096,1067,2499,1093
1234,2027,C,13114,1067,3299,1522
1234,2027,C,13115,1067,3299,1518
1234,2027,C,13116,1067,3299,1518
1234,2027,C,13117,1067,3299,1518
1235,2003,C,13118,1106,3299,1391
1236,2018,C,13119,1174,3299,1274
1237,2011,C,13120,1121,3299,1109
1237,2011,C,13121,1121,3299,1109
1237,2011,C,13122,1121,3299,1109
1237,2011,C,13123,1121,3299,1109
1238,2004,C,13124,1100,3299,1161
1239,2002,C,13125,1020,3299,1349
1240,2031,C,13126,1130,3299,1518
1241,2017,A,11127,1025,1699,972
1241,2017,B,12097,1025,2499,945
1241,2017,C,13127,1025,3299,1353
1242,2008,C,13128,1082,3299,1142
1243,2009,C,13129,1136,3299,1363
1244,2006,C,13130,1074,3699,1932
1245,2002,C,13131,1106,3699,1767
1246,2028,B,12098,1046,2699,1201
1247,2026,C,13132,1143,3699,1636
1248,2006,C,13133,1105,3699,1887
1249,2015,C,13134,1050,3699,1773
1250,2024,C,13135,1120,3699,1960
1250,2024,C,13136,1120,3699,1960
1250,2024,C,13137,1120,3699,1960
1254,2006,B,12099,1172,2699,980
1254,2006,C,13138,1172,3699,1522
